country,fh_category,fh_score,kmeans,LJI,fragility,gdp
Syria,3,1.5,1,0.2522,10.0,20930.0
Taiwan,1,5.5,4,0.7158,0.0,339.7644428094619
Tajikistan,2,3.0,1,0.2081,11.0,374.9992699214
Tanzania,2,4.0,2,0.2818,12.0,2689.9531474965247
Thailand,2,4.5,4,0.4969,7.0,381.78201966759957
Togo,2,3.0,3,0.1582,13.0,2622.949225390487
Tonga,3,2.0,4,0.8938,NA,12405.056148499669
Trinidad & Tobago,2,3.5,2,0.9117,4.0,3218.961080714809
Tunisia,2,3.0,1,0.1665,7.0,7129.5848775374925
Turkey,1,7.0,4,0.7064,9.0,1706.9567263924498
Turkmenistan,3,1.0,1,0.0216,10.0,2252.896695519788
Tuvalu,2,4.5,2,0.9479,NA,313.79897643335056
Uganda,2,3.5,0,0.3067,17.0,1828.717625765981
Ukraine,1,6.0,1,0.40700000000000003,6.0,43533.89178223067
United Arab Emirates,3,1.0,1,0.2907,3.0,44313.58524128115
United States,3,1.0,0,0.9838,3.0,5221.673188091864
Uruguay,1,7.0,4,0.8973,3.0,546.7768501855516
Uzbekistan,3,2.0,4,0.0316,13.0,1886.3883096649938
Vanuatu,2,5.0,4,0.8944,NA,5444.662517851963
Venezuela,1,6.0,1,0.309,11.0,699.4878933339452
Yemen,1,6.0,1,0.1379,16.0,831.8802897569069
Zambia,2,3.5,2,0.4683,14.0,625.8537548422248
Zimbabwe,1,6.0,2,0.2214,17.0,452.7890275059992
